
src vocab: 37000  tgt vocab: 37000
step=1 lr=0.000000 train_loss=16.0845
step=100 lr=0.000017 train_loss=13.3955
step=200 lr=0.000035 train_loss=11.3419
step=300 lr=0.000052 train_loss=9.9724
step=400 lr=0.000070 train_loss=9.0506
step=500 lr=0.000087 train_loss=8.6101
step=600 lr=0.000105 train_loss=8.4373
step=700 lr=0.000122 train_loss=8.3201
step=800 lr=0.000140 train_loss=8.2324
step=900 lr=0.000157 train_loss=8.1305
step=1000 lr=0.000175 train_loss=8.0576
step=1100 lr=0.000192 train_loss=7.9553
step=1200 lr=0.000210 train_loss=7.8663
step=1300 lr=0.000227 train_loss=7.7580
step=1400 lr=0.000245 train_loss=7.6565
step=1500 lr=0.000262 train_loss=7.5521
step=1600 lr=0.000280 train_loss=7.4544
step=1700 lr=0.000297 train_loss=7.3455
step=1800 lr=0.000314 train_loss=7.2782
step=1900 lr=0.000332 train_loss=7.1685
step=2000 lr=0.000349 train_loss=7.0800
step=2000 val_loss=7.2010
step=2100 lr=0.000367 train_loss=7.0255
step=2200 lr=0.000384 train_loss=6.9063
step=2300 lr=0.000402 train_loss=6.8603
step=2400 lr=0.000419 train_loss=6.8074
step=2500 lr=0.000437 train_loss=6.7227
step=2600 lr=0.000454 train_loss=6.6442
step=2700 lr=0.000472 train_loss=6.5882
step=2800 lr=0.000489 train_loss=6.5165
step=2900 lr=0.000507 train_loss=6.4834
step=3000 lr=0.000524 train_loss=6.3883
step=3100 lr=0.000542 train_loss=6.3454
step=3200 lr=0.000559 train_loss=6.2736
step=3300 lr=0.000576 train_loss=6.2132
step=3400 lr=0.000594 train_loss=6.1689
step=3500 lr=0.000611 train_loss=6.1267
step=3600 lr=0.000629 train_loss=6.0689
step=3700 lr=0.000646 train_loss=6.0130
step=3800 lr=0.000664 train_loss=5.9714
step=3900 lr=0.000681 train_loss=5.9597
step=4000 lr=0.000699 train_loss=5.8956
step=4000 val_loss=6.1060
step=4100 lr=0.000690 train_loss=5.8413
step=4200 lr=0.000682 train_loss=5.8252
step=4300 lr=0.000674 train_loss=5.7527
step=4400 lr=0.000666 train_loss=5.7412
step=4500 lr=0.000659 train_loss=5.6958
step=4600 lr=0.000652 train_loss=5.6655
step=4700 lr=0.000645 train_loss=5.6176
step=4800 lr=0.000638 train_loss=5.6231
step=4900 lr=0.000631 train_loss=5.5828
step=5000 lr=0.000625 train_loss=5.5409
step=5100 lr=0.000619 train_loss=5.5233
step=5200 lr=0.000613 train_loss=5.5017
step=5300 lr=0.000607 train_loss=5.4591
